trail_name,month,total_trip_count,source
Ashokan High Point Trail,2025-03-01,175.0,strava_monthly
Ashokan High Point Trail,2025-04-01,75.0,strava_monthly
Ashokan High Point Trail,2025-05-01,170.0,strava_monthly
Ashokan High Point Trail,2025-06-01,315.0,strava_monthly
Ashokan High Point Trail,2025-07-01,350.0,strava_monthly
Ashokan High Point Trail,2025-08-01,210.0,strava_monthly
Ashokan High Point Trail,2025-09-01,160.0,strava_monthly
Ashokan High Point Trail,2025-10-01,240.0,strava_monthly
Ashokan High Point Trail,2025-11-01,60.0,strava_monthly
Ashokan High Point Trail,2025-12-01,15.0,strava_monthly
Ashokan High Point Trail,2026-01-01,10.0,daily_aggregated
Ashokan High Point Trail,2026-02-01,,
Ashokan High Point Trail,2026-03-01,,
Ashokan High Point Trail,2026-04-01,,
Ashokan High Point Trail,2026-05-01,180.0,daily_aggregated
Pine Hill West Branch Trail,2021-01-01,360.0,daily_aggregated
Pine Hill West Branch Trail,2021-02-01,105.0,daily_aggregated
Pine Hill West Branch Trail,2021-03-01,300.0,daily_aggregated
Pine Hill West Branch Trail,2021-04-01,40.0,daily_aggregated
Pine Hill West Branch Trail,2021-05-01,185.0,daily_aggregated
Pine Hill West Branch Trail,2021-06-01,85.0,daily_aggregated
Pine Hill West Branch Trail,2021-07-01,135.0,daily_aggregated
Pine Hill West Branch Trail,2021-08-01,160.0,daily_aggregated
Pine Hill West Branch Trail,2021-09-01,70.0,daily_aggregated
Pine Hill West Branch Trail,2021-10-01,75.0,daily_aggregated
Pine Hill West Branch Trail,2021-11-01,80.0,daily_aggregated
Pine Hill West Branch Trail,2021-12-01,125.0,daily_aggregated
Pine Hill West Branch Trail,2022-01-01,505.0,daily_aggregated
Pine Hill West Branch Trail,2022-02-01,235.0,daily_aggregated
Pine Hill West Branch Trail,2022-03-01,115.0,daily_aggregated
Pine Hill West Branch Trail,2022-04-01,,
Pine Hill West Branch Trail,2022-05-01,10.0,daily_aggregated
Pine Hill West Branch Trail,2022-06-01,25.0,daily_aggregated
Pine Hill West Branch Trail,2022-07-01,,
Pine Hill West Branch Trail,2022-08-01,10.0,daily_aggregated
Pine Hill West Branch Trail,2022-09-01,70.0,daily_aggregated
Pine Hill West Branch Trail,2022-10-01,80.0,daily_aggregated
Pine Hill West Branch Trail,2022-11-01,200.0,daily_aggregated
Pine Hill West Branch Trail,2022-12-01,65.0,daily_aggregated
Pine Hill West Branch Trail,2023-01-01,370.0,daily_aggregated
Pine Hill West Branch Trail,2023-02-01,160.0,daily_aggregated
Pine Hill West Branch Trail,2023-03-01,70.0,daily_aggregated
Pine Hill West Branch Trail,2023-04-01,60.0,daily_aggregated
Pine Hill West Branch Trail,2023-05-01,200.0,daily_aggregated
Pine Hill West Branch Trail,2023-06-01,250.0,daily_aggregated
Pine Hill West Branch Trail,2023-07-01,390.0,daily_aggregated
Pine Hill West Branch Trail,2023-08-01,65.0,daily_aggregated
Pine Hill West Branch Trail,2023-09-01,115.0,daily_aggregated
Pine Hill West Branch Trail,2023-10-01,115.0,daily_aggregated
Pine Hill West Branch Trail,2023-11-01,165.0,daily_aggregated
Pine Hill West Branch Trail,2023-12-01,145.0,daily_aggregated
Pine Hill West Branch Trail,2024-01-01,430.0,strava_monthly
Pine Hill West Branch Trail,2024-02-01,575.0,strava_monthly
Pine Hill West Branch Trail,2024-03-01,600.0,strava_monthly
Pine Hill West Branch Trail,2024-04-01,580.0,strava_monthly
Pine Hill West Branch Trail,2024-05-01,505.0,strava_monthly
Pine Hill West Branch Trail,2024-06-01,735.0,strava_monthly
Pine Hill West Branch Trail,2024-07-01,385.0,strava_monthly
Pine Hill West Branch Trail,2024-08-01,655.0,strava_monthly
Pine Hill West Branch Trail,2024-09-01,445.0,strava_monthly
Pine Hill West Branch Trail,2024-10-01,355.0,strava_monthly
Pine Hill West Branch Trail,2024-11-01,475.0,strava_monthly
Pine Hill West Branch Trail,2024-12-01,340.0,strava_monthly
Pine Hill West Branch Trail,2025-01-01,495.0,strava_monthly
Pine Hill West Branch Trail,2025-02-01,565.0,strava_monthly
Pine Hill West Branch Trail,2025-03-01,615.0,strava_monthly
Pine Hill West Branch Trail,2025-04-01,350.0,strava_monthly
Pine Hill West Branch Trail,2025-05-01,530.0,strava_monthly
Pine Hill West Branch Trail,2025-06-01,705.0,strava_monthly
Pine Hill West Branch Trail,2025-07-01,780.0,strava_monthly
Pine Hill West Branch Trail,2025-08-01,1540.0,strava_monthly
Pine Hill West Branch Trail,2025-09-01,480.0,strava_monthly
Pine Hill West Branch Trail,2025-10-01,475.0,strava_monthly
Pine Hill West Branch Trail,2025-11-01,440.0,strava_monthly
Pine Hill West Branch Trail,2025-12-01,365.0,strava_monthly
Pine Hill West Branch Trail,2026-01-01,290.0,daily_aggregated
Pine Hill West Branch Trail,2026-02-01,80.0,daily_aggregated
Pine Hill West Branch Trail,2026-03-01,130.0,daily_aggregated
Pine Hill West Branch Trail,2026-04-01,430.0,daily_aggregated
Pine Hill West Branch Trail,2026-05-01,235.0,daily_aggregated
Vernooy Falls Trail,2021-01-01,,
Vernooy Falls Trail,2021-02-01,,
Vernooy Falls Trail,2021-03-01,5.0,daily_aggregated
Vernooy Falls Trail,2021-04-01,10.0,daily_aggregated
Vernooy Falls Trail,2021-05-01,45.0,daily_aggregated
Vernooy Falls Trail,2021-06-01,,
Vernooy Falls Trail,2021-07-01,5.0,daily_aggregated
Vernooy Falls Trail,2021-08-01,35.0,daily_aggregated
Vernooy Falls Trail,2021-09-01,50.0,daily_aggregated
Vernooy Falls Trail,2021-10-01,10.0,daily_aggregated
Vernooy Falls Trail,2021-11-01,,
Vernooy Falls Trail,2021-12-01,,
Vernooy Falls Trail,2022-01-01,,
Vernooy Falls Trail,2022-02-01,,
Vernooy Falls Trail,2022-03-01,,
Vernooy Falls Trail,2022-04-01,,
Vernooy Falls Trail,2022-05-01,50.0,daily_aggregated
Vernooy Falls Trail,2022-06-01,35.0,daily_aggregated
Vernooy Falls Trail,2022-07-01,330.0,daily_aggregated
Vernooy Falls Trail,2022-08-01,105.0,daily_aggregated
Vernooy Falls Trail,2022-09-01,200.0,daily_aggregated
