Bluestone Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONTEORA LAKE (Interior Register),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,4,,,,220,223,,,295,,202,142,155,366,366,416,354,375,381.6666666666667,,240,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,112,149,149,149,185.5,185.5,235,216.4,206.16666666666666,,229,249.85714285714286,277.42857142857144,287,296.77777777777777,306.4074074074074,306.4074074074074,310.6296296296296,318.85185185185185,339.3333333333333,335.5238095238096,330.44444444444446,313.33333333333337,303.1666666666667,279.22222222222223,228,228,,,,,,,,,,,,,,,
November,,,,,,,,,,,,30,,,,173,155,,,165,,242,127,37,340,349,318,163,338,273,,169,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,30,101.5,119.33333333333333,119.33333333333333,119.33333333333333,130.75,130.75,183.75,172.4,149.83333333333334,,177,202.14285714285714,225.42857142857142,217.625,231,243,243,234.88888888888889,236.44444444444446,261.375,250.14285714285714,233.66666666666666,216.8,230.25,194.33333333333334,155,155,,,,,,,,,,,,,,,
December,,,,,,,,,,,,11,,,,141,63,,,110,,134,55,128,368,233,136,117,185,146,,127,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,76,71.66666666666667,71.66666666666667,71.66666666666667,81.25,81.25,112,100.6,105.16666666666667,,142.71428571428572,155.85714285714286,166.28571428571428,160.125,162.88888888888889,166.88888888888889,166.88888888888889,166.11111111111111,175.11111111111111,181,154.28571428571428,141.16666666666666,142.2,148.5,136.33333333333334,131.5,131.5,,,,,,,,,,,,,,,
Yearly Totals,0,0,0,0,0,0,0,0,0,0,0,567,0,0,0,1102,1887,0,0,1711,0,2359,2084,2016,2933,3467,3449,3184,3590,3407.666666666667,0,1836,1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1517,1409.2,,2253.909090909091,2355.8888888888887,2564.6666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Discrepancies from January 2023 to October 2024.
Below and on the left is the old data found in the spreadsheet. The data in the table above is the new data input on 3/11/2025 from trail registers.
On the rightside of the table below is a comparison of the data above being subtracted from the data below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comparison (current-previous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,2023,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,January,169,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,-60,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February,65,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,81,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,March,98,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,34,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
