trail_name,feature_name,edge_uid,elastic_net_coefficient,abs_elastic_net_coefficient,screen_rank,n_train_months,train_pearson,abs_train_pearson,mean_trip_count,coefficient_rank
Ashokan High Point Trail,edge_511263779,511263779,0.7757002936836477,0.7757002936836477,85,43,0.7975258464470872,0.7975258464470872,196.51162790697674,28
Ashokan High Point Trail,edge_515147576,515147576,0.7526641220554322,0.7526641220554322,25,40,0.8189680871957131,0.8189680871957131,63.0,29
Ashokan High Point Trail,edge_511265165,511265165,0.7507686702058605,0.7507686702058605,80,42,0.799038315824762,0.799038315824762,55.95238095238095,30
Ashokan High Point Trail,edge_511264666,511264666,0.7138975959188353,0.7138975959188353,81,42,0.7982276752739931,0.7982276752739931,56.19047619047619,31
Ashokan High Point Trail,edge_511265164,511265164,0.7126960028687519,0.7126960028687519,86,42,0.7971827199408171,0.7971827199408171,56.07142857142857,32
Ashokan High Point Trail,edge_513425599,513425599,0.7071840994737973,0.7071840994737973,66,41,0.8031249771703496,0.8031249771703496,78.90243902439025,33
Ashokan High Point Trail,edge_513425586,513425586,0.6733566755177063,0.6733566755177063,3,43,0.8514820212651515,0.8514820212651515,213.13953488372093,34
Ashokan High Point Trail,edge_514288671,514288671,0.6564170420655114,0.6564170420655114,27,43,0.8186723276681361,0.8186723276681361,257.3255813953488,35
Ashokan High Point Trail,edge_514288433,514288433,0.6553675771565045,0.6553675771565045,30,43,0.8168925994632228,0.8168925994632228,265.5813953488372,36
Ashokan High Point Trail,edge_515147579,515147579,0.6337310686889631,0.6337310686889631,59,42,0.8058852562839136,0.8058852562839136,67.02380952380952,37
Ashokan High Point Trail,edge_513425675,513425675,0.6297642103506514,0.6297642103506514,8,43,0.8366810482327816,0.8366810482327816,100.81395348837209,38
Ashokan High Point Trail,edge_513425668,513425668,0.6199278069156791,0.6199278069156791,40,42,0.8136854397728843,0.8136854397728843,116.9047619047619,39
Ashokan High Point Trail,edge_511264150,511264150,0.6195094859565251,0.6195094859565251,55,43,0.8082929553616359,0.8082929553616359,221.97674418604652,40
Ashokan High Point Trail,edge_514288431,514288431,0.6029456183081372,0.6029456183081372,39,43,0.8137951009630597,0.8137951009630597,265.2325581395349,41
Ashokan High Point Trail,edge_514162461,514162461,0.5831296248560538,0.5831296248560538,48,41,0.8097888893255528,0.8097888893255528,84.8780487804878,42
Ashokan High Point Trail,edge_511264148,511264148,0.5431212174982293,0.5431212174982293,77,43,0.7992548041582432,0.7992548041582432,217.5581395348837,43
Ashokan High Point Trail,edge_514275326,514275326,0.539990219175011,0.539990219175011,62,43,0.805161613637146,0.805161613637146,221.86046511627907,44
Ashokan High Point Trail,edge_514288429,514288429,0.5376085266640718,0.5376085266640718,46,43,0.8106576861002396,0.8106576861002396,263.83720930232556,45
Ashokan High Point Trail,edge_513425776,513425776,0.5370134220875701,0.5370134220875701,26,42,0.818690008939027,0.818690008939027,141.66666666666666,46
Ashokan High Point Trail,edge_511263798,511263798,0.5148443235948069,0.5148443235948069,56,43,0.8082808225553599,0.8082808225553599,234.06976744186048,47
Ashokan High Point Trail,edge_515101281,515101281,0.48968314311125966,0.48968314311125966,73,43,0.8008117596127406,0.8008117596127406,118.6046511627907,48
Ashokan High Point Trail,edge_511264123,511264123,0.4888576769262294,0.4888576769262294,58,43,0.8066833654171619,0.8066833654171619,245.8139534883721,49
Ashokan High Point Trail,edge_514176287,514176287,0.48429997372735956,0.48429997372735956,22,43,0.8211062641100703,0.8211062641100703,104.06976744186046,50
Ashokan High Point Trail,edge_514288426,514288426,0.4808006247616372,0.4808006247616372,79,43,0.799051703685991,0.799051703685991,251.97674418604652,51
Ashokan High Point Trail,edge_515092835,515092835,0.4777057462283701,0.4777057462283701,28,43,0.8175253221704013,0.8175253221704013,320.2325581395349,52
Ashokan High Point Trail,edge_514176323,514176323,0.4759564908113999,0.4759564908113999,9,42,0.8364929217759176,0.8364929217759176,85.5952380952381,53
Ashokan High Point Trail,edge_511263816,511263816,0.4686786527829506,0.4686786527829506,57,43,0.8071921705939832,0.8071921705939832,234.41860465116278,54
Ashokan High Point Trail,edge_514176285,514176285,0.45309429395607825,0.45309429395607825,84,43,0.7975817208658894,0.7975817208658894,53.372093023255815,55
Ashokan High Point Trail,edge_511264130,511264130,0.44234532621104944,0.44234532621104944,63,43,0.8046107635945001,0.8046107635945001,249.65116279069767,56
Ashokan High Point Trail,edge_511263818,511263818,0.4404920529107315,0.4404920529107315,68,43,0.8025845275638219,0.8025845275638219,242.2093023255814,57
Ashokan High Point Trail,edge_515092845,515092845,0.4349640116121767,0.4349640116121767,13,43,0.8301910966731764,0.8301910966731764,336.51162790697674,58
Ashokan High Point Trail,edge_511264121,511264121,0.4226434799033658,0.4226434799033658,60,43,0.8057981222282344,0.8057981222282344,248.02325581395348,59
Ashokan High Point Trail,edge_513425580,513425580,0.410737694805349,0.410737694805349,67,42,0.802633006130913,0.802633006130913,236.54761904761904,60
