edge_uid,n_train_observed,n_train_months,train_pearson,abs_train_pearson,mean_trip_count,std_trip_count,min_trip_count,max_trip_count,trail_name,screen_rank
514124140,40,40,0.8087064368473537,0.8087064368473537,52.125,44.02632516679433,5.0,180.0,Ashokan High Point Trail,54
511264150,43,43,0.8082929553616359,0.8082929553616359,221.97674418604652,97.76149022032996,35.0,375.0,Ashokan High Point Trail,55
511263798,43,43,0.8082808225553599,0.8082808225553599,234.06976744186048,89.69031251739754,60.0,410.0,Ashokan High Point Trail,56
511263816,43,43,0.8071921705939832,0.8071921705939832,234.41860465116278,89.00380745150056,55.0,410.0,Ashokan High Point Trail,57
511264123,43,43,0.8066833654171619,0.8066833654171619,245.8139534883721,94.91180262145971,50.0,405.0,Ashokan High Point Trail,58
515147579,42,42,0.8058852562839136,0.8058852562839136,67.02380952380952,45.95941374694453,5.0,170.0,Ashokan High Point Trail,59
511264121,43,43,0.8057981222282344,0.8057981222282344,248.02325581395348,94.67450211673706,55.0,405.0,Ashokan High Point Trail,60
515098252,43,43,0.8056967866797969,0.8056967866797969,163.37209302325581,82.99254793161622,5.0,300.0,Ashokan High Point Trail,61
514275326,43,43,0.805161613637146,0.805161613637146,221.86046511627907,129.13182290006134,5.0,525.0,Ashokan High Point Trail,62
511264130,43,43,0.8046107635945001,0.8046107635945001,249.65116279069767,94.40537810571172,55.0,410.0,Ashokan High Point Trail,63
514200379,35,35,0.8040244704161313,0.8040244704161313,70.71428571428571,47.25000555777834,5.0,190.0,Ashokan High Point Trail,64
511264120,43,43,0.8039793556675214,0.8039793556675214,248.72093023255815,94.16988841890146,55.0,405.0,Ashokan High Point Trail,65
513425599,41,41,0.8031249771703496,0.8031249771703496,78.90243902439025,69.64653791756226,5.0,325.0,Ashokan High Point Trail,66
513425580,42,42,0.802633006130913,0.802633006130913,236.54761904761904,144.89478140057227,20.0,515.0,Ashokan High Point Trail,67
511263818,43,43,0.8025845275638219,0.8025845275638219,242.2093023255814,92.31353358438294,50.0,410.0,Ashokan High Point Trail,68
510947697,19,19,0.8024824820937174,0.8024824820937174,14.736842105263158,12.74468126650468,5.0,55.0,Ashokan High Point Trail,69
511263780,43,43,0.8023855342678429,0.8023855342678429,196.04651162790697,81.8575864036269,30.0,390.0,Ashokan High Point Trail,70
514200369,37,37,0.8022353967376454,0.8022353967376454,83.91891891891892,58.203845987079646,5.0,210.0,Ashokan High Point Trail,71
498990350,31,31,0.8015168260304265,0.8015168260304265,128.06451612903226,69.9723447674727,25.0,235.0,Ashokan High Point Trail,72
515101281,43,43,0.8008117596127406,0.8008117596127406,118.6046511627907,57.53182950700451,25.0,240.0,Ashokan High Point Trail,73
511263777,43,43,0.7999996512381502,0.7999996512381502,194.7674418604651,80.96849393416414,40.0,385.0,Ashokan High Point Trail,74
513425601,41,41,0.7999669500931533,0.7999669500931533,77.4390243902439,69.5082904337633,5.0,325.0,Ashokan High Point Trail,75
511263813,43,43,0.7996344747729413,0.7996344747729413,234.53488372093022,89.87964143580577,60.0,415.0,Ashokan High Point Trail,76
511264148,43,43,0.7992548041582432,0.7992548041582432,217.5581395348837,96.98657303378242,25.0,375.0,Ashokan High Point Trail,77
513426329,43,43,0.7992165077948772,0.7992165077948772,182.32558139534885,63.15465557254877,45.0,310.0,Ashokan High Point Trail,78
514288426,43,43,0.799051703685991,0.799051703685991,251.97674418604652,139.8687289963416,10.0,555.0,Ashokan High Point Trail,79
511265165,42,42,0.799038315824762,0.799038315824762,55.95238095238095,33.71758778293779,5.0,125.0,Ashokan High Point Trail,80
511264666,42,42,0.7982276752739931,0.7982276752739931,56.19047619047619,33.43741011037881,5.0,125.0,Ashokan High Point Trail,81
512539306,43,43,0.7981187951956645,0.7981187951956645,225.69767441860466,96.36600242323188,25.0,410.0,Ashokan High Point Trail,82
515146143,29,29,0.7979061357324463,0.7979061357324463,34.13793103448276,24.497411143003653,5.0,85.0,Ashokan High Point Trail,83
514176285,43,43,0.7975817208658894,0.7975817208658894,53.372093023255815,37.38029991459975,5.0,160.0,Ashokan High Point Trail,84
511263779,43,43,0.7975258464470872,0.7975258464470872,196.51162790697674,79.84012957243974,40.0,385.0,Ashokan High Point Trail,85
511265164,42,42,0.7971827199408171,0.7971827199408171,56.07142857142857,33.741046044147915,5.0,125.0,Ashokan High Point Trail,86
514176303,41,41,0.797134100315803,0.797134100315803,102.5609756097561,62.47121288261009,5.0,230.0,Ashokan High Point Trail,87
511263956,43,43,0.7961394106382863,0.7961394106382863,195.0,77.22108027019073,50.0,365.0,Ashokan High Point Trail,88
514123974,40,40,0.7960280841387883,0.7960280841387883,73.625,60.15990977045879,5.0,210.0,Ashokan High Point Trail,89
515092859,43,43,0.7959088462904462,0.7959088462904462,403.95348837209303,132.8065104342856,155.0,630.0,Ashokan High Point Trail,90
514123899,40,40,0.7957966431595934,0.7957966431595934,80.375,71.25601639016085,5.0,280.0,Ashokan High Point Trail,91
511263776,43,43,0.7956006706105249,0.7956006706105249,197.2093023255814,79.40479718611671,50.0,380.0,Ashokan High Point Trail,92
515092860,43,43,0.7941619610665492,0.7941619610665492,395.8139534883721,136.78680941244252,140.0,610.0,Ashokan High Point Trail,93
514123976,40,40,0.7941589301913863,0.7941589301913863,73.0,59.29932762190695,5.0,200.0,Ashokan High Point Trail,94
511263966,43,43,0.7941053466248944,0.7941053466248944,195.0,76.96628822938992,55.0,365.0,Ashokan High Point Trail,95
511445119,43,43,0.7939929075961101,0.7939929075961101,216.1627906976744,112.14275133837613,35.0,415.0,Ashokan High Point Trail,96
511263958,43,43,0.7934226413340575,0.7934226413340575,194.65116279069767,77.93766853830793,45.0,360.0,Ashokan High Point Trail,97
515092864,43,43,0.793422301877684,0.793422301877684,392.4418604651163,136.99310068230258,110.0,595.0,Ashokan High Point Trail,98
511263806,43,43,0.7933139962245076,0.7933139962245076,234.41860465116278,90.02122304216184,60.0,415.0,Ashokan High Point Trail,99
514176314,41,41,0.7930265767384811,0.7930265767384811,99.63414634146342,62.283527556473956,10.0,230.0,Ashokan High Point Trail,100
510777980,10,10,-0.9551319024841732,0.9551319024841732,8.0,4.216370213557839,5.0,15.0,Pine Hill West Branch Trail,1
510777982,11,11,-0.9223826773445135,0.9223826773445135,7.7272727272727275,4.100997661323622,5.0,15.0,Pine Hill West Branch Trail,2
507750951,10,10,0.9164124828203931,0.9164124828203931,13.0,7.52772652709081,5.0,25.0,Pine Hill West Branch Trail,3
514173659,12,12,0.9125408119638588,0.9125408119638588,17.083333333333332,15.877132402714707,5.0,55.0,Pine Hill West Branch Trail,4
510777206,11,11,-0.9042938463003706,0.9042938463003706,6.818181818181818,3.3709993123162105,5.0,15.0,Pine Hill West Branch Trail,5
511626105,10,10,0.9039683613237004,0.9039683613237004,10.5,4.972144630058766,5.0,20.0,Pine Hill West Branch Trail,6
512444357,11,11,0.901083432785847,0.901083432785847,7.7272727272727275,5.178627406773132,5.0,20.0,Pine Hill West Branch Trail,7
515392431,14,14,0.9002482985029872,0.9002482985029872,9.642857142857142,5.705694090550689,5.0,25.0,Pine Hill West Branch Trail,8
512531268,10,10,0.8977570388342792,0.8977570388342792,11.0,6.146362971528592,5.0,25.0,Pine Hill West Branch Trail,9
510844898,11,11,0.8960224485158391,0.8960224485158391,9.090909090909092,5.838742081211422,5.0,20.0,Pine Hill West Branch Trail,10
507749344,11,11,0.8943549699396698,0.8943549699396698,14.090909090909092,11.793680896603448,5.0,45.0,Pine Hill West Branch Trail,11
511412160,10,10,-0.894127425671501,0.894127425671501,6.0,2.1081851067789197,5.0,10.0,Pine Hill West Branch Trail,12
511135463,10,10,0.893166103123505,0.893166103123505,7.0,3.496029493900505,5.0,15.0,Pine Hill West Branch Trail,13
513450811,10,10,0.8911857841122569,0.8911857841122569,9.0,3.1622776601683795,5.0,15.0,Pine Hill West Branch Trail,14
