edge_uid,reported_months,mean_trips,std_trips,log_variance,max_trips
512408877,63,506.74603174603175,1230.225903307796,3.4873889086524685,5570.0
512403212,63,1256.5873015873017,4389.933758905491,3.4865227096019304,23795.0
512408859,63,508.015873015873,1232.5261037877362,3.4852905534759073,5590.0
512408814,63,515.1587301587301,1261.3948271188651,3.4840476488807015,5860.0
512408857,63,505.63492063492066,1228.2992083415563,3.479133014174945,5570.0
512408804,63,516.1904761904761,1262.6596718849496,3.4769013421280457,5870.0
512408858,63,505.95238095238096,1229.457937579199,3.475985742640799,5580.0
512397595,63,1184.2857142857142,4165.692141028293,3.472067678646717,22855.0
512403190,63,1240.4761904761904,4352.864714322988,3.469693307174,23635.0
510722754,63,735.952380952381,1487.591921026161,3.4649710699858853,6205.0
511043282,63,646.7460317460317,809.9896249485677,3.4589085093197607,4315.0
512403170,63,1230.4761904761904,4321.405994532943,3.455242627630968,23530.0
512408816,63,510.07936507936506,1239.0479865422603,3.4531380543745542,5630.0
512408802,63,517.3809523809524,1266.5281020094753,3.437369164008151,5915.0
510843841,63,2394.285714285714,6567.023792989931,3.436113850169647,32700.0
512397665,63,1184.7619047619048,4166.367493099667,3.4179353107384367,22860.0
512408800,63,517.3015873015873,1265.4273233986576,3.4156127477185523,5910.0
512403168,63,1229.047619047619,4312.899150031334,3.411556609985392,23500.0
512403213,63,1256.111111111111,4389.66945669809,3.3997480671029257,23790.0
512408903,63,506.74603174603175,1227.8594535555003,3.3982214963424835,5525.0
512386724,63,5256.984126984127,4038.655910604432,3.395495640048773,24540.0
510971730,63,1350.0,1962.1527841600653,3.3918449783589515,10970.0
512408881,63,507.3015873015873,1230.4270257283044,3.3894370176851996,5550.0
510833764,63,762.1428571428571,2802.5332311180073,3.3849513843206362,15460.0
512408882,63,507.6984126984127,1231.3930694335797,3.3845480459017545,5555.0
512397532,63,1210.3174603174602,4226.789358921286,3.3833230925918283,23015.0
512397669,63,1182.936507936508,4163.999863937496,3.3832586801791074,22895.0
512408902,63,509.6031746031746,1233.4721192722668,3.3817054038179215,5555.0
510855548,63,972.7777777777778,2792.9898966383707,3.3734159840729587,13745.0
510723027,63,649.1269841269841,581.0263025544649,3.3712075044206857,1790.0
512403149,63,1224.6825396825398,4283.486377094567,3.3637499665181902,23405.0
512408878,63,507.3015873015873,1227.560794564684,3.3573995927772544,5560.0
512403150,63,1225.3968253968253,4284.712726244476,3.3556955700606443,23415.0
510722868,63,2064.6031746031745,2095.8205917713913,3.353485144497415,7815.0
512408788,63,526.9047619047619,1294.9450195613078,3.3485532380640985,6260.0
512403776,63,1581.984126984127,5196.840117746688,3.3400846737515484,26870.0
510843830,63,1111.8253968253969,3074.474686520329,3.3280271111794266,14125.0
512403773,63,1605.2380952380952,5247.574049990933,3.324606968779622,27060.0
512397531,63,1211.4285714285713,4226.431369348811,3.2966551534457715,23005.0
